freq_Hz,amplitude_dB
10000.0,-39.29589938089677
6705668.566856686,-2.0466287817694795
13401337.133713372,-1.6773781637283154
20097005.700570058,-2.0608928004578346
26792674.267426744,-1.7398819509414922
33488342.83428343,-1.3187035107957288
40184011.401140116,-2.6581845625573024
46879679.967996806,-0.8559112135650708
53575348.53485349,-2.3662526321441026
60271017.10171017,-1.511339376314787
66966685.66856686,-3.5061450555624774
73662354.23542355,-2.3922552972436013
80358022.80228023,-2.4140998103236004
87053691.36913691,-1.9185994879657102
93749359.93599361,-1.9360742698320728
100445028.5028503,-2.35504517512464
107140697.06970698,-2.0416843263126014
113836365.63656366,-2.91589217291478
120532034.20342034,-2.8914009984898583
127227702.77027704,-2.1425330836946332
133923371.33713372,-2.016116107989879
140619039.90399042,-2.9777045388705323
147314708.4708471,-2.8376482456925105
154010377.03770378,-3.102583618191067
160706045.60456046,-3.393750186502003
167401714.17141715,-3.350005461428117
174097382.73827383,-2.6038613503206633
180793051.3051305,-2.4400761428951343
187488719.87198722,-2.6084744781084996
194184388.4388439,-1.8281802648677257
200880057.0057006,-2.545716434802182
207575725.57255727,-2.204818718973385
214271394.13941395,-1.5590589975776652
220967062.70627064,-2.7068562470120745
227662731.27312732,-2.6226325298119733
234358399.839984,-2.428371746258641
241054068.40684068,-2.5350732655777204
247749736.9736974,-2.6496417970965367
254445405.54055408,-1.9555248119850281
261141074.10741076,-2.2851493717197284
267836742.67426744,-2.4869576256477464
274532411.24112415,-1.5162518261940057
281228079.80798084,-2.7644608705919955
287923748.3748375,-3.111229690613038
294619416.9416942,-2.752478570270698
301315085.5085509,-2.1623156497438005
308010754.07540756,-2.0028284190172125
314706422.64226425,-2.7478433120033006
321402091.2091209,-2.530262975620227
328097759.7759776,-2.065304570887895
334793428.3428343,-2.695432632922155
341489096.909691,-2.5053445760556596
348184765.47654766,-1.9816697402279744
354880434.04340434,-2.930518261151069
361576102.610261,-2.1187711261510755
368271771.1771177,-2.4462908937200405
374967439.74397445,-2.4547625517086966
381663108.3108311,-2.344088337297249
388358776.8776878,-1.9630680149035222
395054445.4445445,-2.079436237841395
401750114.0114012,-2.424898096090759
408445782.57825786,-2.2726348251529505
415141451.14511454,-2.6555905904748016
421837119.7119712,-1.914258590696296
428532788.2788279,-2.5110926112256156
435228456.8456846,-2.4277963455813896
441924125.4125413,-1.8940795125584398
448619793.97939795,-2.3688352109841433
455315462.54625463,-2.3055235411668447
462011131.1131113,-1.9112775694501027
468706799.679968,-2.1055995499938667
475402468.2468247,-2.3188656331372575
482098136.81368136,-1.9669509592903065
488793805.3805381,-2.2284101717441525
495489473.9473948,-2.2538331041891215
502185142.5142515,-2.316030254776386
508880811.08110815,-2.093660366208827
515576479.64796484,-2.045598296299451
522272148.2148215,-2.136093348199429
528967816.7816782,-1.8584555871797352
535663485.3485349,-2.5038786020825476
542359153.9153916,-1.8463078331330904
549054822.4822483,-2.4413884848579985
555750491.0491049,-2.085738781529535
562446159.6159617,-2.166111973539369
569141828.1828183,-1.8267108921782649
575837496.749675,-2.285546957051678
582533165.3165317,-2.6598578180762487
589228833.8833884,-1.9492733888081875
595924502.450245,-2.2794275152614865
602620171.0171018,-2.615810586460431
609315839.5839584,-2.063444027167437
616011508.1508151,-2.636796282363412
622707176.7176718,-2.2815457638660317
629402845.2845285,-2.3397886149254505
636098513.8513851,-2.3646950826470032
642794182.4182419,-2.3318641688464075
649489850.9850986,-2.3186342916478972
656185519.5519552,-2.242745555784351
662881188.118812,-2.313968928816181
669576856.6856686,-2.5042938023668824
676272525.2525253,-2.0165109807232735
682968193.819382,-2.3892722988000066
689663862.3862387,-1.9008990746301804
696359530.9530953,-2.1944995847905906
703055199.519952,-1.9156278486725637
709750868.0868087,-2.1215968743142564
716446536.6536654,-2.083731122112468
723142205.220522,-1.954697112292562
729837873.7873788,-2.092811757141969
736533542.3542354,-2.4214554388166283
743229210.9210922,-2.2594573361716606
749924879.4879489,-2.4065098122255484
756620548.0548055,-2.3323062735522013
763316216.6216623,-2.3245289640337385
770011885.1885189,-2.2978768716339384
776707553.7553756,-2.2021185016450477
783403222.3222322,-2.2419973136785325
790098890.889089,-2.1855372509697375
796794559.4559456,-2.0895563288271295
803490228.0228024,-2.124687711390466
810185896.589659,-1.7885370409322907
